,text,good_review
21,vanilla isnt usually goto ice cream flavor definitely favorite brand vanilla offered it distinct taste amazing,Good
22,tasteless very disappointing no pistachio taste end result pick little piece broken tasteless nut teeth,Bad
23,absolutely disappointing this pregnant woman happy chocolate peanut butter major craving i had buy icecream find i really got plain chocolate ice cream no sign anything else it like i return carton store get money back either i didnt even want give one star rating,Bad
24,i love breyers ice cream simple ingredient without nasty filler additive it affordable especially go sale pretty often grocery store highly recommend,Good
25,i love ice cream even simple one amazing you add extra,Good
26,heaven pint size i bought flavor last week finished tonight i loved much so creamy right amount flavor i need restock soon,Good
27,love this ice cream have eating lactose free year but quite hard find flavor one storealso would love flavorsmaybe coffee strawberry mint chocolate chip terrific product,Good
28,melody flavor the salted caramel core reach soul the addition sweet cream ice cream blonde brownie bit complement salted caramel perfect masterpiece flavor,Good
29,caramel core in bit just indulged small tub caramel ran bit stopped im middle wasnt way centre really wish i perfect balance time instead chocolate caramel icecream centre,Bad
30,creamy deliciousness wow i say this decadent ice cream creamy bold full flavor the peanut butter thick plentiful amongst rich chocolate ice cream the ingredient seemed fresh taste amazing ill buying household sure,Good
31,hubby obsessed ice cream he cant live taste great easy find,Good
32,so good so good take almost light full fat i would time,Good
33,no lime zero lime found taste like boring vanilla gelato graham cracker throughout not sure talenti thinking bad sign lime mentioned anywhere ingredient list what heck,Bad
34,when i found ice cream i could put spoon it taste good i always finish container within two day the cookie chunk amazing i always recommend friend,Good
35,excellent my first talenti product im super happy love black raspberry flavor highly recommended,Good
36,if like carmel love taste like carmel melting mouth this review collected part promotion,Good
37,my time fav i addicted flavor it mixture delicious frankly feel best flavor ben jerry ever made im super happy flavor switching anytime soon,Good
38,favorite this favorite ice cream time please never stop selling and feel free send lifetime supply lol,Good
39,delicious my favorite flavor rum raisin spirit rum tres lech,Good
40,i savored bite delicious first time buy taste talenti sorbetto i disappointed it delightful coffee flavor enough sweetness make irresistible i could eaten whole container first sitting reluctantly ate half saved half later i definitely buy i also pleased see gluten free along dairy free,Good
41,so darn good my husband i fighting ice cream even though mine very good unquestionable favorite,Good
42,way better og smores ive many pint gimme smore tonight i accidentally grabbed original smores chocolate ice cream it disappointing moment i opened pint find chocolate ice cream instead typical golden ice cream i used gimme smore gimme smore perfect representation smore mostly composed perfectly toasted marshmallow hint chocolate great trail graham cracker i sad pint leaf shelf and i never make mistake buying og smores pint too much chocolate represent smore,Good
43,i love ice cream i prefer chocolate based ice cream vanilla perfect it sweet creamy the price good little container perfect size want treat,Good
44,the best ice cream world ive never tasted ice cream better chunky monkey i eat whole pint it impossible stop eating,Good
45,i live breathe ice cream it soo delicious creamy it bit pricey completely worth,Good
46,i love mint i love gelato i love natural flavor this great combination three,Good
47,look delicious would love try love ice cream first time consumer i would improve product eating lol,Good
48,terrible coffee use love coffee ice cream today i going thinking yummy wa it terrible nasty been hour since i tried still nasty taste mouth i never tasted ice cream terrible it use favorite ice cream i agree negative review trash leave great product alone,Bad
49,favorite flavor first flavor i look i get ben jerry,Good
50,cg since i remember long i discovered gd i eating cg,Good
51,so delicious i love creaminess sublime flavor it favorite,Good
52,omg heaven jar all great but favorite only problem ive eating entire pint one sitting,Good
53,great flavor odd texture i absolutely love flavor strawberry best flavor hand texture weird methe creaminess ice cream go perfect chunk strawberry strawberry seed something continue bother,Good
54,nasty cookie dough tasted artificial bitter awful taste tried get spoon eating ice cream,Bad
55,so good i would recommend anyone it smooth texture rich flavor exactly need life i received product free exchange review wouldve gladly payed price,Good
56,love different flavor company make ice cream one definitely one favorite i normally buy product walmart marc near house they always large selection different flavor isle i cant help buy different flavor every time i go store,Good
57,"horrible disapointing who tell what taste ""belgian"" chocolate so bitter dark nothing else tasted worst ever i still cant get nasty bitter taste mouth that title completely misleading and know actual dark chocolate strong subtle flavor white milk chocolate would completely lost disgusting",Bad
58,great tasting my grandma would buy and i addicted best ice cream flavor ever,Good
59,the dairy free ben jerry ice cream best opinion the texture flavor like regular ice cream i think ben jerry bit overpriced totally worth considering support great cause flavor immaculate,Good
60,this ice cream good alternative cutting back carbs however still kind carby watch serving size sure other taste great good cure sweet tooth,Bad
61,nice flavor got instead mint switch thing let tell i love this great banana flavor everytime i take bite fudge chunk taste like chocolate covered banana,Good
62,quarantine dream it everything could wish would make stuck home seem real treat chunk abound the peanut butter chocolate combination hearty decadent worth,Good
63,increase carbs i always looked forward treat ice cream i could legally every night i bring home today see carbs almost doubled i giving ice cream away cannot fit many carbs plan i thought idea carb smart low carbs net carbs low / cup,Bad
64,draw u target a wonderful coffee chocolate ice cream nice mix flavor texture we shop target sometimes thats place get our favorite bj flavor since toffee heath bar crunch went away,Good
65,heaven earth i introduced phish food year ago i absolutely love it flavor bjs ice cream i tried i desire try others i pretty sure best wont agree,Good
66,the best almond ice cream i expected find heavy caramel flavor i didnt what experienced clean delicate flavor crunch almond nut my favorite icecream date i need look larger size stock gone,Good
67,i typically loveee reeses i super disappointed ice cream the flavor good hardly chunk peanut butter cup ill never buy unfortunately,Bad
68,my time favourite ice cream recently picky ice cream favourite keep buying,Good
69,there cookie dough lol for people complaining cookie dough cookie dough lol maybe slow without gouging spoonful no filled cookie dough i ate cookie dough i didnt even reach bottom overall really good only complaint adding i promise everyone else exaggerating,Good
70,im addicted im much leaving review gelato taste amazing ive buying almost daily b/c good i highly recommend flavor love eggnog,Good
71,ice cream delicious core yuck the ice cream best part taste like cooky cream delicious but coretastes nothing like regular cookie dough i cant find word describe taste good leaf weird aftertaste exactly like reviewstexture like wet sand,Bad
72,my new fave i love combination banana ice cream dark chocolate move redacted chunky monkey addition peanut butter put top the one suggestion i would like add peanut butter could added smaller ribbon sometimes large peanut butter chunk overwhelm rest ice cream overall absolute winner,Good
73,used favorite the last time i chubby hubby pretzel filled peanut butter i tried found peanut butter pretzel no doubt change due cost something different overall flavor just favorite anymore so unfortunate,Bad
74,ben jerry favorite ice cream brand they also good company support check guy half baked good delicious chewy brownie piece super good cookie dough piece,Good
75,low calorie i ice cream lover ice cream hit spot vanilla bean favorite flavor i didnt feel like ice cream creamy i stiff it wonderful whole pint calorie product i would purchase it also pricey pint ice cream,Bad
76,an og flavor i love many chunk the cookie dough flavor spot,Good
77,"new recipe too many carbs i trusted brand fit keto lifestyle however ""new improved"" recipe nearly twice net carbs used thats big chunk ketogains day limit net carbs per day you really alienated large customer base carb smart i longer purchasing brand",Bad
78,worst ice cream ive ever the peach spiced “cobbler” taste like raw dough the farthest peach cobbler i could imagine,Bad
79,tasty this time favorite ben jerry ice cream,Good
80,no brownie chunk i happy hour ago purchased thisit look promising love flavoursbut opened started digging disappoimtedno brownie chunk,Bad
81,awful i looking forward flavor i tasted cinnamon gross you need get new recipe leave cinnamon,Bad
82,life changing experience i bought night thinking good flavor let tell best decision life i never go back thank wonder mind created flavor hard working people made packaged pint last least kind soul generous enough deliver pint store i bought,Good
83,"gurgling noise i tough time finding flavor thank goodness i find impossible put whenever i get this one favorite flavor least year btw gym bill keep getting sent back marked ""return sender"" i using wrong address",Good
84,this favorite ive cream since read kid nothing beat mint flavor i like white green,Good
85,just good real thing ive tried lot nondairy option far best creamy flavorful delicious and even le expensive brand offer nondairy come larger size so glad made,Good
86,compelled write review we bought various flavor small wedding past weekend i grabbed oat this swirled personal stash it good maid honor i ate entire pint decorating typically something bride want day wedding i couldnt put it delicious im big chocolate chunk fan i push side dig swirl this far best ice cream ive ever definitely worth taste,Good
87,these are great for on the go they do fill you up sometimes i use it a a meal replacement the flavor are delicious,Good
88,best ice cream ever spirit bourbon praline pecan extraordinary flavor finest thing touch taste budspure perfection impossible find recently ha discontinued i pray,Good
89,frozen dairy dessert breyers please bring back ice cream your coffee ice cream amazing this frozen dairy dessert kind wrong the texture taste ingredient what happened completely disappointed i certainly purchase,Bad
90,not even hint lime i guess nail flavor key lime pie ignore lime part the meringue graham cracker flavor come but lime course whole point good key lime pie main event well i cant even taste hint sure enough ingredient list show cinnamon vanilla graham flour honey lime if ignore label taste okayish but particularly interesting huge disappointment given name,Bad
91,my favorite cheat diet ice cream love cookie dough piece throughout perfect mix chocolate vanilla it also pretty affordable,Good
92,amazing heaven ice cream form much crunch much texture ive never satisfied ice cream,Good
93,heaven i call soothing snack thank haagen daz,Good
94,like iced water tasteless im shocked tasteless son recomended u husband major cancer surgery purchased tub tried one spoonful aweful gave son others contacted saying disgusted quality opinion amazingly luxurious tasting product,Bad
95,no reeses piece peanut butter cup bought ice cream second time really looking forward chunky piece ice cream there little chocolate ice cream piece candy it basically tan colored ice cream super disappointing,Bad
96,disappointed when i saw package i excited yet i got home first bite disappointment came the ice cream inside plain for soft chocolate coating texture alright somehow expected soft dipped flavour isnt chocolaty overall far worse experience belgium chocolate flavour pint ice cream provide it quality i would expect haagen dazs,Bad
97,soooo good one best gelato ever live winston salem north carolina dont many gelato winston salem north carolina buy store good brand gelato/ice cream,Good
98,although price higher storebrand halfbaked definitely go i love gooeyness chewiness brownie cookie dough mixed i super satisfied continue buy,Good
99,grainy “cookie dough” core this terrible the cookie dough core basically brown sugar chocolate i wish i could get money back,Bad
100,best flavor give good mixture bunch topping etc good price,Good
101,i love my favorite i buy i find i go grocery store a result i keep buying bigger shirt,Good
102,currently looking oreo cant find oreo literally vanilla ice cream this made depressed i the decepción,Bad
103,best treat ever me family love getting treat we love every time so yummy,Good
104,i love vanilla chocolate strawberry theyre together one ice cream instead buy three different ice cream i find expensive i think well worth blend really well i bought i would definitely recommend others,Good
105,this ice cream huge cookie dough ball the chocolate vanilla ice cream mix good together i definitely recommend specific flavor,Good
106,gritty tasteless ice cream it abomination way nestles/dreyers destroyed haagen dazs ice cream the coffee ice cream bar gritty texture perhaps cream substituted skim milk there discernible coffee flavor ice cream milk the chocolate coating good almond piece coating far much candy toffee,Bad
107,ben jerry make amazing ice cream im sure one would disagree the quality definitely half baked flavor i really enjoyed i wasnt blown away like i flavor dont get wrong i wont turn i many favorite,Good
108,the flavor smoother delicious i would buy this review collected part promotion,Good
109,cream de la creme i getting milk cooky year i run i have restock i dont normally even sweet tooth there something texture taste cooky mixed ice cream milk cooky time favorite ice cream i always make friend try you,Good
110,java let yuck i paid attention review coffee chip ice cream instead i bought container i doesnt begin compare java chip strong flavor coffee nice big chocolate chip they also quit making sea salt caramel truffle ice cream i believe many year haagen dazs ice cream i would ever buy i done i tried couple flavor nothing disappointment price keep going worth bye bye haagen dazs,Bad
111,amazing texture coconut chocolate cookie mmmm this best gelato/ice cream/sorbet i love the smooth texture flavorful taste the packaging absolutely clever eye catching ive alsotrie chocolate mint cookie loved also im looking forward trying flavor thank wonderful product,Good
112,best ice cream ever best ice cream best flavor ever so delicious,Good
113,i love this truly taste amazing thats coming someone who wild blueberry im love,Good
114,amazing product having started keto lifestyle watch eat that cause lot store bought desert item working full time hard make the day i noticed cooler store i ecstatic finally ice cream i eat ice cream taste taste thank product i could appreciative,Good
115,my favorite flavor nom nom nom nom nom nom nom nom nom nom nom nuff said,Good
116,way much rum i wanted love i loved tree leche brigadero so i thought may good way much rum i felt like i bar the rum totally overpowered ice cream i miss salted caramel truffle banana foster tres leche havent like new flavor since,Bad
117,best one since cannoli please keep flavor i upset guy limited batch cannoli such tease while chocotherapy favorite since cannolinow one top far,Good
118,i intake ridiculous amount ice cream week hahah ben jerry never disappoints,Good
119,every layer delicious the layered talenti great idea absolutely delicious,Good
120,flavorless vanilla soft roasted pitachios thats bland disappointing pistachio ice cream usually almond extract flavor completely missing ben jerry pistachio pistachio far better choice gave star nut ground good part,Bad
121,this fanfriggintastic i tried first time great the suttle citrus note strong fresh creamy meringue flavor amazing piece dense pie crustoooooh oooooh,Good
122,"very disappointing mostly orange dreadful ""artificial peach flavor"" small strip vanilla ice cream kind peach flavor tastewe threw nobody would eat",Bad
123,alright the coffee bit concentrated taste like alcohol but add chocolate syrup balance enough i enjoy,Good
124,best flavor ever i think buy grocery store every week flavor amazing,Good
125,this one favorite ice cream i wish put reeses cup even ratio ice cream other complaint it one yummiest ice cream id definately recommend people very good,Good
126,best one so far layered product ive tried favorite one i would recommend anybody really,Good
127,i cant believe i ate whole thing well one sitting haha thank breyers creating non dairy oreo ice cream it best ive since realizing lactose intolerance year ago could use nut/nutbutter peanut like macadamia pistachio almond cashew,Good
128,i scream this ice cream make scream delicious from first bite tell immediately made real ingredient only downfall local grocery store run favorite flavor frequently,Good
129,this best ice cream finally mint ice cream doesnt look like liquified frozen hulk this really amazing ice cream available,Good
130,the best mint chocolate chip this favorite mint chocolate chip ice cream i havent found anything compare besides gelati italy,Good
131,so creamy absolutely best chocolate ice cream i lifetime weight watcher love love love ice cream i ice cream still watch weight thank you,Good
132,yum love cooky brown sugar ice cream definitely one favorite,Good
133,strawberry favorite fruit i one word ice cream yum when come ice cream carton strawberry favorite breyers happens top choice i go grocery store the flavor awesome perfect chunk strawberry i love brand offer real natural strawberry ice cream there right amount sweetness without tasting sweet milkshake i eat plain wonderful dessert snack,Good
134,so satisfying this ice cream got job done it late sweet tooth hit i needed something sweet i felt like late ice cream calorie i went fridge looked selection brewer delight mint chip winner calorie count i enjoyed mint taste chocolate chip my complaint container full top i would definitely try brand flavor,Good
135,my new satisfaction it brings pure joy eat gelato the flavor im heaven,Good
136,still cant find better chocolate brownie flavor i compare chocolate ice cream brownie ice cream experience flavor i tried failed multiple time find comparable one come close achieving greatness come short every time it time favorite ice cream,Good
137,love love love ice cream creamy smooth one favorite ice cream brand,Good
138,pregnancy craving best ice cream ive since pregnant i could eat tub day,Good
139,i love it favorite flavor haagendaz it creamy rich artificial flavor tasting i usually got long project finished reward i finish pint min i recommend haagendaz vanilla ice cream everyone,Good
140,very tasty core let i buy regularly favourite flavour however multiple occasion buying core pretty disappointing i find never really seems go bottom even halfway it like fat blob top nothing overall taste nice core let,Bad
141,carribbean coconut have tryd one sinfully deliciouscant th find,Good
142,great ice cream enjoy moderation perfect balance creamy sweet vanilla i definitely going purchase i dont ascribe strict low carb diet like keto like minimize sugar sugar substitute this isnt perfect fit due substitute moderation im happy enjoy,Good
143,im obsessed flavor it sweet i love chunk brownie cookie dough inside each bite little bit everything best late night snack quench sweet craving,Good
144,need about time the amount of cherry this new obsession i love son cherry i counted cherry half last one shined i bought frozen cherry add awful compared juicy breyers one love add more cherry pleaseeeeee,Good
145,"close quite i excited i saw store yesterday it close time favorite ""oatmeal cookie chunk"" discontinued year ago however definitely need oatmeal cookie",Good
146,weve eaten five four day i cant belive weve eaten many we blame talenti ice cream sale local store i wasnt much ice cream person i flavor my husband hand this flavor sooo good i hope talenti pair salted caramel cheesecake duche de leche graham cracker crumbles chocolate that would soooooo amazing i know ive eaten salted caramel black raspberry cheesecake together im ashamed,Good
147,delicious flavor i agree yummy need double amount graham cracker would star happened,Good
148,not i thought i seen advertisement twitter day so yesterday checking ingredient allergy i picked flavor it taste mostly plain much crunch caramel flavor so honestly i sadly disappointed,Bad
149,this product corn syrup the promotional material state ingredient vanilla bean ice cream lactose this untrue corn syrup regular vanilla bean sugar why too bad otherwise id buy mother,Bad
150,please remove rum i sure ice cream tasty without ingredient this favorite ice cream used walk grocery store buy pint iam i longer consume flavor alcohol please listen loyal customer one,Bad
151,one favorite ha best combination good chocolate mixture but isnt overwhelming chocolate like brownie batter one,Good
152,found best flavor ever i like pistachio never ice cream im tracking calorie gingerly tried / c well hour pint empty worth very simple ingredient addicting sure love,Good
153,breyers make best chocolate ice cream pair peanut butter delicious it little pricey get pay they go sale quite oftenwatch,Good
154,taste amazing this flavor best ice cream flavor ive ever it favorite please bring back area,Good
155,bland this flavor good overall it basic chocolate ice cream dot marshmellow fluff really mealy truffle taste like nothing disappointing,Bad
156,could better i bought time could say im fan i love two different icecream flavor core taste fake processed i hoping maybe i got bad batch third one taste i think real flavor reinvent core flavor would,Bad
157,it favorite the last time ive purchased core stop mid / way,Bad
158,this delicious ice cream it go dessert perfect mix chocolate vanilla chunk cookie dough good it creamy great size,Good
159,delicious natural ingredient rich tasty definitely good buy i make they big variety flavor different type well they bar pint half gallon very tasty sweet,Good
160,pacific coast muted echo original sicilian hooked sicilian pistachio great clean bright pistachio flavor better others ive come across grocery store sadly pacific coast version california pistachio lacking flavor like nut really sad nut source unfortunate effect flavor still nice texture longer satisfies pistachio craving wish talenti would switch back sicilian pistachio theyre vastly superior,Bad
161,disappointed i absolutely love snicker ice cream bar i saw i hoping would something like blended instead taste nothing like snicker light ice cream base good im honestly pretty disappointed,Bad
162,"delectable taste this favorite talenti gelato ""sbp"" southern butter pecan become major dessert i replaced icecream delectable treat i use birthday holiday plain old everyday treat way sbp my favorite",Good
163,yummmm omg ur chocolate lover good ur ready become one,Good
164,ok love res get ice cream good creamy lite yoummy bowl heaven chocolate isnt strong say res,Good
165,where caramel bit go disappointment noticing delicious caramel bit reduced virtually zero what drop taste sensation were sorry hear sea salt caramel missing best part truffle if reach customer service team help,Bad
166,simply wonderful what wonderful combination i thought couldnt beat combination chocolate peanut butter totally added chocolate cookie swirl mix thank please keep making flavor favorite far,Good
167,this another really good healthy alternative ice cream this ice cream kid friendly daughter love it taste like vanilla ice cream fact sugar amazing you dress ice cream especially summer i root beer float banana split milkshake etc you shocked good ice cream importantly calorie per serving bad youre looking ice cream doesnt make gain weight try one almond milk ice cream these everyday essential i bought also safeway affordable taste amazing i highly recommend,Good
168,im sure paula deen around this do like taste frozen butter caramel drizzle if particular talenti one i prefer ice cream taste like ice cream consists milk cream butter fat what let i couldnt even pretend try get used taste,Bad
169,best ice cream ever i cannot resist ice cream i always buy i see and usually eat whole pint,Good
170,tasted like soft serve ice cream mcdonalds honestly i wouldve satisfied ordering mcdonalds pay ice cream tasted like brand version mcflurry next time i purchase ben jerry flavor beyond better quality,Bad
171,all i say best dang ice cream ever talenti brand good i havent found flavor i dont like i love keep repurchasing if havent tried flavor get,Good
172,best ice cream ive ever this best ice cream ive ever love layer perfect creamy consistency cult favorite right,Good
173,love im true ice cream lover haagen dazs goto brand this new flavor amazing i typically dont enjoy big chunk anything getting way ice cream crackled chocolate perfect the negative hard find,Good
174,i always go bowl issue i end eating whole pint too bad caloriefree,Good
175,bpp bourbon prailine pecan one favorite the bourbon flavor reminds blending bailey liquor ice cream the sweetness pecan make bourbon flavor even better i unable find local store recently found so i buy pint every time i go store,Good
176,whenever i buy ice cream nine time ten im buying breyers oreo reese so good make milkshake,Good
177,my favourite flavour best ice cream ive brilliant idea it taste like actual cookie dough make believe substitute,Good
178,amazing it pretty light something caramel lovely flavor i love cookie crumble love good texture it new favorite,Good
179,breyers best tasting natural vanilla able watch carbs time whether top peach cobbler bowl mixed hershey syrup breyers always stay top,Good
180,taste different last purchase fell love first bite however last purchase six pack disappointing i always liked vanilla ice cream smooth chant but like frozen milk wear recipe changed,Bad
181,love at first taste ive chunky monkey fan year i moved new jersey alabama find quality ive notice le chocolate chunk ice cream gritty texture not sure disparity i look forward going home jersey christmas i suggestion please consider selling half gallon gallon size this would make life complete thank you delicious product,Good
182,this hand best ice cream it guilty pleasure i bowl almost every night the oreo bit explosive creamy delicious,Good
183,perfect mix ice cream perfectly blended snicker piece create great flavor,Good
184,wowzers the blackberry flavor caught surprise i expecting tart taste load seed neither it super smooth sweet accent belgian chocolate amazing,Good
185,i like americone cream flavor lot really delicious cone piece ice cream i also like ben jerry take time collaborate people create custom flavor cute idea,Good
186,when salty sweet collide one favorite ice cream it great blend salty sweet sweet ice cream base crunchy salty pretzel the bummer many store area il carry,Good
187,great taste real ingredient with summer i love offer family healthy ice cream real ingredient so i surprised i found brand doesnt cost arm leg looking forward buying family,Good
188,my new favorite ice cream i bought recently store ran half baked new favorite,Good
189,hand one favorite ice cream i love ice cream much been favorite since i child,Good
190,amazing this flavor one first flavor talenti i ever kept coming back a lot previous reviewer mentioned lack chocolate chip i never problem if doubt totally see outside container buy the chocolate chip like flake melt mouth there big chunk frozen chocolate require chewing the raspberry flavor amazing im totally love,Good
191,favorite ice cream time pricey absolutely worth love,Good
192,plain vanilla taste really good creamy it really good easy pair food like brownie apple pie make awesome dessert loved texture flavor really good,Good
193,tried ice cream great review sweet if high tolerance sugar like boyfriend like brand may enjoy tasted overly sugary,Bad
194,delicious i love i hope make permanent addition lineup oh bring back willie nelson peach cobbler,Good
195,in my life this favorite ice cream since i first tasted flavor since finding worst experience ever it made limited batch never store every year became explorer find year wa walmart wegmans shop rite cv every september i knew time first batch delivered finally year specific page website pumpkin cheesecake all put zip code tell nearest establishment purchase incredibly tasty scrumptiously delicious frozen treat good luck careful brain freeze youre gonna love,Good
196,the best definitely favorite flavor ben jerry best,Good
197,awesome this ice cream instant new favorite mine it nearly good apparent predecessor dearly departed oatmeal cookie chunk way go ben jerry,Good
198,butter pecan this horrible i think ill throw carton away,Bad
199,this favorite ice cream i love much affordable taste good,Good
200,amazing mix favorite ive bought every day since i first tried,Good
201,great flavor matcha green tea great idea flavor ice cream i barely taste matcha i saw review year ago complaint seems like havent take review seriously enough change recipe,Good
202,i think ice cream individually packaged expensive this flavor favorite i dont think worth money spent you get lot ice cream lot better option cheaper,Bad
203,our favorite layer flavor we tried every talenti layer flavor lol definitely favorite sweet crunchy fruity heavy treat new goto dessert,Good
204,so creamy great flavour absolutely love peanut butter ice cream amazing great flavour texture rich brownie cut thick peanut butter taste so well absolutely love flavour delivered master piece,Good
205,please dont ever discontinue masterpiece talentis raspberry cheesecake gelato exceptional savoring cream cheese flavor enjoying creaminess make feel like im commiting sin this got alltime favorite ice cream hand dont change anything product ever,Good
206,almost perfect classic chocolate vanilla small single serving size great taste without overdoing only two requestsplease include wooden spoon pack plastic spoon arent strong please size mint chocolate chip,Good
207,underwhelmed i high hope flavor left much desired i would loved taste blueberry pint hardly crumble chunk this flavor potential i think missed mark,Bad
208,dissapointed so caramel cookie crunch favorite flavor talenti carry but i got home eat mine literally no cookie crunch pint it caramel im disappointed,Bad
209,amazing best ice cream ever this flavor incredible please take special edition list make regular flavor it perfection perfect blend chocolate peanut butter delicious pb swirl exactly ive looking no company make ice cream flavor like i buying every time i go target in fact increased overall ice cream sale significantly thank please keep flavor circulation,Good
210,this favorite ice cream time i constantly freezer go desert i love ben jerry flavor one favorite,Good
211,absolutely amazing i bought saturday afternoon i love creation deliciously sweet,Good
212,definitely one favorite ice cream ive gotten countless time side price compared brand larger size take super good though,Good
213,i jerry brandcherry garcia favorite ice cream i buy time flavor i buy,Bad
214,please go back old recipe new font container thing changed also noticed recipe le creamier le swirl cheap taste favorite one point dont know,Bad
215,best ice cream coping quarantine so creamy great flavor definitely could tell quality ingredient the speckled vanilla bean bit perfect love much ive sick awaiting covid test result great comfort treat throat thank häagen dazs,Good
216,great flavor i love but i cant find london what gone,Good
217,it expensive worth paying price this ice cream really good i dont keep freezer i splurge every,Good
218,breyers chocolate ice cream creamy rich the chocolate flavor fullbodied it one treat want use spoon enjoy whole carton,Good
219,"the spicy fudge mwah the ben jerry line ice cream best i ever tasted when i spied newest freezer local grocery i intrigued so i ponied cash brought home a usual i popped top took taste omg i floored this added lineup permanent optionit everything i expect the flavor burst mouth the combination cinnamon chocolate although seemingly odd perfect together and ""topping cake"" spicy fudge brownie love new flavor",Good
220,whats love b j best flavor combination chunk goodness always generous sized i met flavor i enjoy i definitely repeat customer highly recommend,Good
221,bring back original i pay extra ice cream milk cream sugar vanilla at least bring back vanilla chocolate strawberry,Bad
222,missing ice cream one ice cream white i never seen mint ice cream thats white two doesnt go way top chocolate,Bad
223,"alltime favorite hard find this alltime favorite ice cream flavorperiod ben jerry terrific far outdone smores nothing else compare it favorite ice cream since i kid nothing ever come close replacing unfortunately also happens most difficult flavor find there retailer near still carry itit seems phased i hope favor ""gimme smore"" cant hold candle original smores the rich chocolate flavor punctuated fudgy chocolate chunk paired velvety toasted marshmallow delightfully crunchy textured graham cracker swirlsnothing compare",Good
224,"carbnotsosmart used breyers market cornered great tasting product net carbs i bought back stockpile freezer two different nutrition label i keto diet only ice cream i bought year to find nearly doubled net carbs horrible decision i longer ""afford"" diet i consume carbs day i feel betrayed bring back the old formula",Bad
225,awesome im vegan i never tried stuff yet min ago lol i amazed taste good flavor raspberry lemon go well together i also alphonso mango sorbetto trying i finally finish roman raspberry sorbetto thank making delightful treat,Good
226,you removed best part it great surprise i first discovered carbsmart pb flavor store addition vanilla chocolate i especially loved peanut butter swirl gonereally dumb since cant fun flavor treat very disappointed,Bad
227,omg yum i bought meijer i seen online good brand it really cheap amount get definitely best “ice cream” i ever i definitely believe worth price i cant wait try flavor and eat pint lol,Good
228,holy moly delish i two child finding time challenging i find alone i want full enjoy thank goodness bzzagent campaign i tried breyers gelato vanilla caramel i sat porch summer heat enjoyed every bite the gelato extremely smooth creamy your first bite get stream caramel shaved chocolate i cant wait try three flavor i might share husband,Good
229,best mango ice cream earth the ice cream creamy smooth moderate mango flavor there tiny chunk fresh mango dispersed throughout this favorite dessert light fresh still substantial,Good
230,best ice cream ever ive eating bj since i this far favorite ice cream time almond flavored base ice cream unique subtle flavorful i love sugar cookie dough shortbread bit countered acidity cherry flavor profile made delicious combined almond well done bj,Good
231,unbelievably addicting i hope never stop making this favorite flavor one it sweet rich im able eat whole thing blink eye i freezer hidden away,Good
